
time 07h 45m 00s, episodes 1759, frames 2.740M, mean epr -17.57
time 07h 50m 00s, episodes 1776, frames 2.770M, mean epr -17.84
time 07h 55m 00s, episodes 1793, frames 2.799M, mean epr -16.87
time 08h 00m 00s, episodes 1809, frames 2.828M, mean epr -17.42
time 08h 05m 00s, episodes 1825, frames 2.857M, mean epr -18.07
time 08h 10m 00s, episodes 1841, frames 2.886M, mean epr -18.11
time 08h 15m 00s, episodes 1856, frames 2.915M, mean epr -17.17
time 08h 20m 00s, episodes 1872, frames 2.944M, mean epr -17.38
time 08h 25m 00s, episodes 1888, frames 2.974M, mean epr -17.74

	3M frames: saved model

time 08h 30m 00s, episodes 1904, frames 3.003M, mean epr -17.16
